,Time-to-edit,Segment,Suggestion,Translation,words
101,87427,"Presently, a number of other human rights-related law drafts are being worked on, including the amended Labor Code, Law on Medical Examination and Treatment, Law on the Immigration of Vietnamese citizens, Law on Disease Prevention and Health, Anti-Corruption Law, Amended Law on Amnesty, Law on the Enforcement of Criminal Sentences, Law on Association, etc.","En la actualidad, se está trabajando en una serie de otros proyectos de ley relacionados con los derechos humanos, entre ellos, el Código del Trabajo, la Ley de examen y tratamiento médicos, la Ley de inmigración de ciudadanos vietnamitas, la Ley de prevención de enfermedades y salud, la Ley anticorrupción, Ley modificada de Amnistía, Ley de Ejecución de Sentencias Penales, Ley de Asociación, etc.","En la actualidad, se está trabajando en una serie de otros proyectos de ley relacionados con los derechos humanos, entre ellos, el Código del Trabajo, la Ley de Exámenes y Tratamientos Médicos, la Ley de Inmigración de Ciudadanos Vietnamitas, la Ley de Prevención de Enfermedades y Salud, la Ley Anticorrupción, la Ley Modificada de Amnistía, la Ley de Ejecución de Sentencias Penales, la Ley de Asociación, etc.",54
109,27345,"The ""enabling Government"" concept has been consistently reflected in many policies, strategies, and plans since 2016, including the 2016 - 2020 Administration Reform Plan with its core objectives to optimize of administrative and public services.","El concepto de ;gobierno habilitante; se ha reflejado constantemente en muchas políticas, estrategias y planes desde 2016, incluido el Plan de Reforma de la Administración 2016-2020 con sus objetivos centrales para optimizar los servicios administrativos y públicos.","El concepto de gobierno habilitante» se ha reflejado constantemente en muchas políticas, estrategias y planes desde 2016, incluido el Plan de Reforma de la Administración 2016-2020 con sus objetivos centrales para optimizar los servicios administrativos y públicos.",35
111,58665,"Additionally, a system for receiving feedbacks and proposals from the people and businesses had been implemented through Government Portal; an annual Administrative Reform Index for administrative agencies and Public Satisfaction Index regarding the service of state administrative agencies, have been developed and published yearly.","Además, se ha implementado un sistema para recibir comentarios y propuestas de personas y empresas a través del Portal del Gobierno; se ha desarrollado y publicado anualmente un Índice de Reforma Administrativa anual para agencias administrativas y un Índice de Satisfacción Pública con respecto al servicio de agencias administrativas estatales.","Además, se ha implementado un sistema para recibir comentarios y propuestas de personas y empresas a través del Portal del Gobierno; se ha desarrollado y publicado anualmente un Índice de Reforma Administrativa para las Agencias Administrativas y un Índice de Satisfacción Pública con respecto al servicio de las agencias administrativas estatales.",44
113,32736,"With its strong pledge to effectively implement the 2030 Agenda and the SDGs, Viet Nam issued the National Action Plan for the 17 VSDGs and 115 specific targets that are in line with national particulars and priorities.","Con su firme compromiso de implementar efectivamente la Agenda 2030 y los ODS, Viet Nam emitió el Plan de Acción Nacional para los 17 VSDG y 115 objetivos específicos que están en línea con los detalles y prioridades nacionales.","Con su firme compromiso de implementar efectivamente el Programa 2030 y los ODS, Vietnam emitió el Plan de Acción Nacional para los 17 VSDG y 115 objetivos específicos que están alineados con los detalles y prioridades nacionales.",37
120,65260,"Viet Nam has redoubled effort to develop housing for low-income people through the adoption the 2014 Housing Law, Decree 99/2015/ND-CP detailing and providing guidelines for selected articles of the Housing Law, Decree 100/2015/ND-CP on the development and management of social housing; Decree 101/2015/ND-CP on the renovation and reconstruction of apartment buildings; Decision 48/2014/QD-TTg on the program to support the construction of flood-resistant housing for the poor; Decision 33/2015/QD-TTg on the program to provide housing support for poor households in rural areas.","Viet Nam redobló los esfuerzos para desarrollar viviendas para personas de bajos ingresos a través de la adopción de la Ley de vivienda de 2014, el Decreto 99/2015 / ND-CP que detalla y proporciona pautas para los artículos seleccionados de la Ley de vivienda, el Decreto 100/2015 / ND-CP sobre el desarrollo y gestión de la vivienda social; Decreto 101/2015 / ND-CP sobre la renovación y reconstrucción de edificios de apartamentos; Decisión 48/2014 / QD-TTg sobre el programa para apoyar la construcción de viviendas resistentes a las inundaciones para los pobres; Decisión 33/2015 / QD-TTg sobre el programa para proporcionar apoyo de vivienda para hogares pobres en áreas rurales.","Vietnam redobló los esfuerzos para desarrollar viviendas para personas de bajos ingresos a través de la adopción de la Ley de Vivienda de 2014, el Decreto 99/2015 / ND-CP que detalla y proporciona pautas para los artículos seleccionados de la Ley de Vivienda, el Decreto 100/2015 / ND-CP sobre el desarrollo y gestión de la vivienda social; el Decreto 101/2015 / ND-CP sobre la renovación y reconstrucción de edificios de apartamentos; la Decisión 48/2014 / QD-TTg sobre el programa para apoyar la construcción de viviendas resistentes a las inundaciones para los pobres; la Decisión 33/2015 / QD-TTg sobre el programa para proporcionar apoyo de vivienda para hogares pobres en áreas rurales.",81
121,48581,"In healthcare, the Government has issued the 2011-2020 National Strategy for providing care and improving public's health (2013), the 2011-2020 National Strategy on preventing and eliminating malaria in Viet Nam (2013), the National Strategy on preventing tuberculosis to 2020 (2014), the 2015-2025 National Strategy on preventing cancer, cardiac diseases, diabetes, chronic obstructive pulmonary, bronchial asthma and other incommunicable diseases (2015), and the 2015-2020 Plan on preventing incommunicable diseases (2015).","En salud, el Gobierno ha emitido la Estrategia Nacional 2011-2020 para brindar atención y mejorar la salud pública (2013), la Estrategia Nacional 2011-2020 para prevenir y eliminar la malaria en Viet Nam (2013), la Estrategia Nacional para prevenir la tuberculosis hasta 2020 (2014), la Estrategia nacional 2015-2025 para la prevención del cáncer, enfermedades cardíacas, diabetes, obstrucción pulmonar crónica, asma bronquial y otras enfermedades no transmisibles (2015) y el Plan 2015-2020 para la prevención de enfermedades no transmisibles (2015).","En materia sanitaria, el Gobierno ha emitido la Estrategia Nacional 2011-2020 para brindar atención y mejorar la salud pública (2013), la Estrategia Nacional 2011-2020 para prevenir y eliminar la malaria en Vietnam (2013), la Estrategia Nacional para prevenir la tuberculosis hasta 2020 (2014), la Estrategia Nacional 2015-2025 para la prevención del cáncer, enfermedades cardíacas, diabetes, obstrucción pulmonar crónica, asma bronquial y otras enfermedades no transmisibles (2015) y el Plan 2015-2020 para la prevención de enfermedades no transmisibles (2015).",69
123,97003,"The 2016 Law on Children that created an important legal framework in this area broadens the elements of children's rights, care and education, defines requirements for child protection, responsibilities to report child abuse, alternative care, protection of children in prosecution, administrative violation, rehabilitation, and has a specific Chapter on the participation of children in child-related matters.","La Ley de Niños de 2016 que creó un marco legal importante en esta área amplía los elementos de los derechos, cuidado y educación de los niños, define los requisitos para la protección de los niños, las responsabilidades de reportar el abuso infantil, el cuidado alternativo, la protección de los niños en proceso, la violación administrativa, la rehabilitación. , y tiene un Capítulo específico sobre la participación de los niños en asuntos relacionados con los niños.","La Ley de Niños de 2016 que creó un marco legal importante en esta área amplía los elementos de los derechos, cuidado y educación infantil, define los requisitos para la protección de los niños, las responsabilidades de reportar el abuso infantil, el cuidado alternativo, la protección de los niños en un proceso judicial, la violación administrativa, la rehabilitación, y tiene un Capítulo específico sobre la participación infantil en los asuntos relacionados con los niños.",56
126,19383,"Additionally, the Government issued Decree 56/2017/ND-CP (2017) implementing the Law on Children; Decree 80/2017/ND-CP (2017) on the safe, healthy and friendly educational environment and the prevention of school violence.","Además, el Gobierno emitió el Decreto 56/2017 / ND-CP (2017) que implementa la Ley de la Infancia; Decreto 80/2017 / ND-CP (2017) sobre el entorno educativo seguro, saludable y amigable y la prevención de la violencia escolar.","Además, el Gobierno emitió el Decreto 56/2017 / ND-CP (2017) que implementa la Ley de la Infancia; Decreto 80/2017 / ND-CP (2017) sobre el entorno educativo seguro, saludable y amigable y la prevención de la violencia escolar.",29
130,29606,"The 2015 Civil Code codifies the rights to gender re-determination (Article 36), the right to gender transformation (Article 37), the right of people whose gender is transformed or re-identified to change their names (Article 28).","El Código Civil de 2015 codifica los derechos a la redeterminación de género (Artículo 36), el derecho a la transformación de género (Artículo 37), el derecho de las personas cuyo género se transforma o se re-identifica para cambiar sus nombres (Artículo 28).","El Código Civil de 2015 codifica los derechos a la redeterminación de género (Artículo 36), el derecho a la transformación de género (Artículo 37), el derecho de las personas cuyo género se transforma o se reidentifica para cambiar sus nombres (Artículo 28).",35
142,115304,"Regarding the protection of labor rights, Viet Nam has issued numerous important documents such as Decree 61/2015/ND-CP on Assistance policies for job creation and the National Fund for Employment; the 2016-2020 Target Program for Education on Vocation, Work and Workplace Safety; the 2016-2020 Planning for the Network of Employment Service Centers; and the 2016-2020 Program for the prevention and reduction of Child Labor for the 2016-2020 period.","En cuanto a la protección de los derechos laborales, Viet Nam ha emitido numerosos documentos importantes, como el Decreto 61/2015 / ND-CP sobre políticas de asistencia para la creación de empleo y el Fondo Nacional para el Empleo; el Programa Objetivo 2016-2020 para la educación en seguridad laboral y laboral; la Planificación 2016-2020 de la Red de Centros de Servicios de Empleo; y el Programa 2016-2020 para la prevención y reducción del trabajo infantil para el período 2016-2020.","En cuanto a la protección de los derechos laborales, Vietnam ha emitido numerosos documentos importantes, como el Decreto 61/2015 / ND-CP sobre políticas de asistencia para la creación de empleo y el Fondo Nacional para el Empleo; el Programa Objetivo 2016-2020 para la Educación Laboral, Vocación y Seguridad Laboral; la Planificación 2016-2020 de la Red de Centros de Servicios de Empleo; y el Programa 2016-2020 para la prevención y reducción del trabajo infantil para el período 2016-2020.",67
147,17608,"In 2015, the Prime Minister approved the Masterplan for the Implementation of the Accepted Recommendations, assigning specific tasks to 18 agencies and a number of other coordinating units.","En 2015, el Primer Ministro aprobó el Plan Maestro para la Implementación de las Recomendaciones Aceptadas, asignando tareas específicas a 18 agencias y varias otras unidades de coordinación.","En 2015, el Primer Ministro aprobó el Plan Maestro para la Implementación de las Recomendaciones Aceptadas, asignando tareas específicas a 18 agencias y varias otras unidades de coordinación.",28
150,47762,"By October 2018, Viet Nam has implemented 175 recommendations (96.2% of accepted recommendations); of which, 159 have been fully implemented and 16 others partially implemented; alongside the remaining 7 recommendations with ongoing implementation or consideration for implementation at a suitable time.","Para octubre de 2018, Viet Nam ha implementado 175 recomendaciones (96.2% de las recomendaciones aceptadas); de las cuales, 159 se han implementado en su totalidad y otras 16 se han implementado parcialmente; junto con las 7 recomendaciones restantes con implementación en curso o consideración para la implementación en un momento adecuado.","Para octubre de 2018, Vietnam ha implementado 175 recomendaciones (96,2 % de las recomendaciones aceptadas); de las cuales, 159 se han implementado en su totalidad y otras 16 se han implementado parcialmente; junto con las 7 recomendaciones restantes con implementación en curso o consideración para la implementación en un momento adecuado.",41
157,25410,"Since the previous review, human rights contents have continually been introduced into primary and secondary textbooks and the curricula of universities offering law courses, police academies and specialized training classes for officials, particularly law-enforcement personnel.","Desde la revisión anterior, los contenidos de derechos humanos se han introducido continuamente en los libros de texto de primaria y secundaria y en los planes de estudio de las universidades que ofrecen cursos de derecho, academias de policía y clases de capacitación especializada para funcionarios, especialmente personal de aplicación de la ley.","Desde la revisión anterior, los contenidos de derechos humanos se han introducido continuamente en los libros de texto de primaria y secundaria y en los planes de estudio de las universidades que ofrecen cursos de derecho, academias de policía y clases de capacitación especializadas para funcionarios, especialmente para el personal de aplicación de la ley.",35
159,31928,"This aims to raise the awareness of the students, teachers and educational administrators in human rights, with the target of having 100% educational establishments in the national education system include human rights education in their operation by 2025.","El objetivo es sensibilizar a los estudiantes, docentes y administradores de educación en materia de derechos humanos, con el objetivo de que los establecimientos educativos del sistema educativo nacional incluyan al 100% la educación en materia de derechos humanos en sus operaciones para 2025.","El objetivo es sensibilizar a los estudiantes, docentes y administradores de educación en materia de derechos humanos, con el objetivo de que los establecimientos educativos del sistema educativo nacional incluyan al 100 % la educación en dicha materia en sus operaciones para 2025.",38
164,46867,"Since 2014, Vietnam has submitted the National Reports on the Implementation of ICESCR (2nd, 3rd and 4th Report in 2014), CEDAW (7th and 8th Report in 2015), ICCPR (3rd, 4th, 5th and 6th Report in 2017), CRC (5th and 6th Report in 2018), the Initial Reports on the Implementation of CRPD (2018) and CAT (2017).","Desde 2014, Vietnam ha presentado los Informes nacionales sobre la implementación del PIDESC (2º, 3º y 4º informe en 2014), CEDAW (7º y 8º informe en 2015), ICCPR (3º, 4º, 5º y 6º informe en 2017), CRC (5º y 6º informe en 2018), los informes iniciales sobre la implementación de la CRPD (2018) y CAT (2017).","Desde 2014, Vietnam ha presentado los Informes nacionales sobre la implementación del PIDESC (2º, 3º y 4º informe en 2014), CEDAW (7º y 8º informe en 2015), ICCPR (3º, 4º, 5º y 6º informe en 2017), CRC (5º y 6º informe en 2018), los Informes Iniciales sobre la Implementación de la CRPD (2018) y CAT (2017).",55
178,21429,"Viet Nam attaches great importance to cooperation and dialogue with the OHCHR and the Special Procedures, in line with their mandates and functions, and the Rules of Procedures of HRC, in the spirit of transparency, efficiency and balance.","Viet Nam otorga gran importancia a la cooperación y el diálogo con el ACNUDH y los Procedimientos Especiales, en línea con sus mandatos y funciones, y las Reglas de Procedimientos del CDH, en un espíritu de transparencia, eficiencia y equilibrio.","Vietnam otorga gran importancia a la cooperación y el diálogo con el ACNUDH y los Procedimientos Especiales, en línea con sus mandatos y funciones, y las Reglas de Procedimientos del CDH, en un espíritu de transparencia, eficiencia y equilibrio.",38
181,26629,"During these visits, the SRs took note of the efforts and achievements of Viet Nam as well as the cooperation and frank deliberations of the government agencies, localities and NGOs and provided useful recommendations on the protection and promotion of human rights in Viet Nam.","Durante estas visitas, los SR tomaron nota de los esfuerzos y logros de Viet Nam, así como de la cooperación y las deliberaciones francas de los organismos gubernamentales, las localidades y las ONG, y brindaron recomendaciones útiles sobre la protección y promoción de los derechos humanos en Viet Nam.","Durante estas visitas, los SR tomaron nota de los esfuerzos y logros de Vietnam, así como de la cooperación y las deliberaciones francas de los organismos gubernamentales, las localidades y las ONG, y brindaron recomendaciones útiles sobre la protección y promoción de los derechos humanos en Vietnam.",45
184,71170,"Viet Nam ratified the ASEAN Convention on the Prevention and Control of Human Trafficking, especially Women and Children in 2016, joined the Bohol Action Plan against Human Trafficking, and actively participates in the Bali Process and the COMMIT Process for the Prevention and Suppression of Irregular Cross Border Migration.","Viet Nam ratificó la Convención de la ASEAN sobre Prevención y Control de la Trata de Personas, especialmente Mujeres y Niños en 2016, se unió al Plan de Acción de Bohol contra la Trata de Personas y participa activamente en el Proceso de Bali y el Proceso COMMIT para la Prevención y Supresión de la Cruz Irregular. Migración fronteriza.","Vietnam ratificó la Convención de la ASEAN sobre Prevención y Control de la Trata de Personas, especialmente Mujeres y Niños en 2016, se unió al Plan de Acción de Bohol contra la Trata de Personas y participa activamente en el Proceso de Bali y el Proceso COMMIT para la Prevención y Supresión de las Migraciones Transfronterizas Irregulares.",49
