,Time-to-edit,Segment,Suggestion,Translation,words
68,133224,"The PRÕM programme  --  conditions for the provision of European Social Fund support under the Labour Market and Education Cooperation Programme  --  has a major impact on the development of quality of work-based learning, expanding of the apprenticeships programmes, training of teachers and trainers and piloting different models of apprenticeship training in Estonia.","Le programme PRÕM - conditions régissant l'octroi d'un soutien du Fonds social européen dans le cadre du programme de coopération  sur le marché du travail et de l'éducation - a un impact majeur sur le développement de la qualité de la formation par le travail, l'extension des programmes d'apprentissage, la formation des enseignants et des formateurs et expérimenter différents modèles de formation en apprentissage en Estonie.","Le programme PRÕM – conditions régissant l'octroi d'un soutien du Fonds social européen dans le cadre du programme de coopération du marché du travail et de l'éducation – a un impact majeur sur le développement qualitatif de la formation par le travail, sur l'extension des programmes d'apprentissage, sur la formation des enseignants et des formateurs et sur l'expérimentation de différents modèles de formation et d'apprentissage en Estonie.",53
70,108580,The Ministry of Education and Research has created a labour and skills prognosis system OSKA (implemented by the Estonian Qualifications Authority).,Le ministère de l'Education et de la Recherche a créé un système de pronostic du travail et des compétences OSKA (mis en place par l'autorité estonienne des qualifications).,Le ministère de l'Education et de la Recherche a créé le système de prospective de la main d'œuvre et des qualifications OSKA (mis en place par l'autorité estonienne des qualifications).,21
88,90537,From 1 January 2018 the overall tax-free amount (basic exemption) of up to 6000 euros per year or up to 500 euros per month is applied on all types of income.,"À partir du 1er janvier 2018, le montant global hors taxe (exemption de base) pouvant atteindre 6 000 euros par an ou 500 euros par mois s'applique à tous les types de revenus.","À partir du 1er janvier 2018, un montant global hors taxe (exemption de base) pouvant atteindre 6 000 euros par an ou jusqu'à 500 euros par mois s'applique à tous les types de revenus.",31
95,121188,One of the key measures to decrease gender pay gap and enhance institutional arrangements in the coming years is through the amendments of the Gender Equality Act.,Les modifications de la loi sur l'égalité des sexes sont l'une des mesures clés pour réduire l'écart de rémunération  entre les hommes et les femmes et améliorer les dispositifs institutionnels au cours des prochaines années.,Les modifications de la loi sur l'égalité des sexes sont l'une des mesures clés pour réduire l'écart de rémunération entre les hommes et les femmes et améliorer les dispositifs institutionnels dans les prochaines années.,27
104,59589,The results will be used in policymaking as well as in awareness raising activities.,Les résultats seront utilisés dans l'élaboration des politiques ainsi que dans les activités de sensibilisation.,Les résultats seront utilisés dans l'élaboration des politiques ainsi que dans les activités de sensibilisation.,14
107,70223,"The strategy of integration and social cohesion ""Integrating Estonia 2020"" includes specific measure ""Promotion of equal treatment on the labour market"".",La stratégie d'intégration et de cohésion sociale ;Intégrer l'Estonie 2020; comprend une mesure spécifique ;Promotion de l 'égalité de traitement sur le marché du travail;.,La stratégie d'intégration et de cohésion sociale  Intégrer l'Estonie 2020 » comprend une mesure spécifique  Promotion de l'égalité de traitement sur le marché du travail ».,21
119,101306,The main policy proposals promoting gender equality concerned changing the parental leave and benefit system as well as amending the conditions of Early Childhood Education and Care (ECEC) services.,"Les principales propositions de politique en faveur de l 'égalité des sexes concernaient la modification du système de congé parental et d'avantages sociaux, ainsi que la modification des conditions régissant les services d 'éducation et d'accueil des jeunes enfants (ECEC).","Les principales propositions de politique en faveur de l ' égalité des sexes concernaient la modification du système de congé parental et d'avantages sociaux, ainsi que la modification des conditions régissant les services d'éducation et d'accueil des jeunes enfants (EAJE).",29
120,99920,Many of the policy proposals of the Green Paper have been accomplished or are in the process of being accomplished.,Un grand nombre des propositions politiques du livre vert ont été réalisées ou sont en train de l'être.,Un grand nombre des propositions politiques du livre vert ont été réalisées ou sont en train de l'être.,20
153,66380,Possibilities for supplementary voluntary funded pension (III pillar) were created in 1998.,Des possibilités de retraite complémentaire facultative par capitalisation (troisième pilier) ont été créées en 1998.,Des possibilités facultatives de retraite complémentaire par capitalisation (troisième pilier) ont été créées en 1998.,12
155,56146,Self-employed persons are covered with all pillars as long as they are making contributions.,Les travailleurs indépendants sont couverts par tous les piliers tant qu'ils apportent des contributions.,Les travailleurs indépendants sont couverts par tous les piliers tant qu'ils contribuent.,14
168,208190,"From 2018 the pension supplement to one parent, parent's spouse, guardian or foster parent for every child one has raised for at least eight years, in the amount of one time the value of a year of pensionable service (6,161 euros) is paid.","À partir de 2018, le complément de pension à un parent, à son conjoint, à son tuteur ou à un parent nourricier pour chaque enfant élevé au moins huit ans, à raison d'une fois la valeur d'une année de service ouvrant droit à pension (6 161 euros).","À partir de 2018, un complément de pension à un parent, au conjoint d'un parent, à un tuteur ou à un parent adoptif de chaque enfant élevé pendant au moins huit ans est payé à raison d'une fois la valeur d'une année de service ouvrant droit à pension (6 161 euros).",43
176,75121,The number of work ability recipients has reached almost 60 000 by the end of III q 2018.,Le nombre de bénéficiaires de capacité de travail a atteint près de 60 000 à la fin du III q 2018.,Le nombre de bénéficiaires d'allocations de capacité au travail a atteint près de 60 000 à la fin du 3e trimestre 2018.,18
177,94350,The average work ability allowance has gradually increased from 119 euros (III q 2016) to 281 euros by III q 2018.,"L'indemnité moyenne d 'aptitude au travail a progressivement augmenté, passant de 119 euros (IIIe trimestre 2016) à 281 euros d'ici le troisième trimestre de 2018.","L'allocation moyenne de capacité au travail a progressivement augmenté, passant de 119 euros (3e trimestre 2016) à 281 euros d'ici le troisième trimestre de 2018.",21
182,59323,It must also support their fast return to the labour market.,Il doit également favoriser leur retour rapide sur le marché du travail.,Il doit également favoriser un retour rapide sur le marché du travail.,11
186,153255,"In January 2015 an amendment of the Estonian Penal Code entered into force pursuant to which causing damage to the health of another person and physical abuse which causes pain, if aggravated by being committed in a close relationship or relationship of subordination, is punishable by a pecuniary punishment or up to five years' imprisonment (section 121, subsection 2, clause 2).","En janvier 2015, un amendement du Code pénal estonien est entré en vigueur, selon lequel les dommages à la santé d' autrui et les violences physiques à l'origine de la douleur, aggravés par un lien de parenté ou une relation de subordination, sont punissables d'une peine pécuniaire. peine d'emprisonnement ou de cinq ans au maximum (article 121, paragraphe 2, clause 2).","En janvier 2015, une modification du Code pénal estonien est entrée en vigueur, selon laquelle les dommages à la santé d'autrui et les violences physiques à l'origine de douleurs, aggravés par un lien d'intimité ou une relation de subordination, sont punissables d'une amende pécuniaire ou d'une peine d'emprisonnement de cinq ans au maximum (article 121, paragraphe 2, alinéa 2).",61
193,106850,:: Physical abuse in close relationships and dependency relationships comprise 90% of all offences registered under the Estonian Penal Code section 121 subsection 2 offences.,:: La violence physique dans les relations intimes et les relations de dépendance représentent 90% de toutes les infractions enregistrées en vertu du paragraphe 2 de l'article 121 du Code pénal estonien.,::  La violence physique dans les relations intimes et les relations de dépendance représente 90 % de toutes les infractions enregistrées sous le paragraphe 2 de l'article 121 du Code pénal estonien.,25
195,43668,Data on punishments imposed on perpetrators of domestic violence:,Données sur les peines infligées aux auteurs de violence domestique:,Données sur les peines infligées aux auteurs de violences domestiques :,9
198,59746,:: Number of applications for restraining orders and orders issued in 2011 - 2017.,:: Nombre de demandes d'ordonnances d'interdiction et d'ordonnances rendues en 2011-2017.,::  Nombre de demandes d'ordonnances d'éloignement et d'ordonnances rendues en 2011-2017.,14
203,82987,Estonia has introduced multi-sectoral approach for supporting victims of domestic violence and the National Victim Support is the central point coordinating the work and leading the network all around Estonia.,L’Estonie a mis en place une approche multisectorielle de l’aide aux victimes de violence domestique et l’ Assistance nationale aux victimes est le point central qui coordonne le travail et dirige le réseau dans l’ensemble de l’Estonie.,L’Estonie a mis en place une approche multisectorielle d’aide aux victimes de violence domestique ; l’Assistance nationale aux victimes est le point de coordination central du travail et elle dirige le réseau dans l’ensemble de l’Estonie.,30
204,137595,"In 2017 a project to protect victims of domestic violence involving law enforcement, social and child protection, women's shelters and other relevant counterparts was initiated and it will be gradually introduced throughout Estonia by 2021.","En 2017, un projet de protection des victimes de violence domestique impliquant l'application de la loi, la protection sociale et la protection de l'enfance, des refuges pour femmes et d'autres homologues concernés a été lancé et il sera progressivement introduit dans toute l'Estonie d'ici 2021.","En 2017, un projet visant à protéger les victimes de violence domestique, impliquant les autorités de police, la protection sociale, la protection de l'enfance, des refuges pour femmes et d'autres parties concernées a été lancé ; il sera progressivement introduit dans toute l'Estonie d'ici 2021.",35
215,92240,Everyone who has knowledge about a threat to child's well-being is required to notify the local government or the child helpline service (11611) of the child in need of assistance.,Toute personne ayant connaissance d'une menace pour le bien-être d'un enfant est tenue d'informer le gouvernement local ou le service d'assistance téléphonique (11611) de l'enfant ayant besoin d'assistance.,Toute personne ayant connaissance d'une menace pour le bien-être d'un enfant est tenue d'en informer les autorités locales ou le service téléphonique d'assistance à l'enfance (11611).,30
219,51540,"The sanctions for violations of restriction on requiring minor to work, have been as follows:",Les sanctions pour violation de la restriction imposant au mineur de travailler sont les suivantes:,Les sanctions des violations des restriction concernant l'imposition de travail au mineur sont les suivantes :,15
221,78936,"Subsistence benefit, consisting of the subsistence level and housing expenses, is a social benefit for people living in poverty paid from the state budget.","L'indemnité de subsistance, qui comprend le niveau de subsistance et les frais de logement, constitue un avantage social pour les personnes vivant dans la pauvreté et rémunéré à même le budget de l'État.","L'allocation de subsistance, qui concerne le niveau de subistance et les frais de logement, constitue une allocation sociale pour les personnes vivant dans la pauvreté, financé directement par le budget de l'État.",24
224,120192,"The subsistence level is established and revised each budgetary year by the Parliament taking into account minimum expenditure on food, clothing, footwear and other goods and services to satisfy persons' basic needs.","Le niveau de subsistance est établi et révisé chaque exercice par le Parlement en tenant compte des dépenses minimales en nourriture, vêtements, chaussures et autres biens et services permettant de satisfaire les besoins essentiels des personnes.","Le niveau de subsistance est établi et révisé lors de chaque exercice budgétaire par le Parlement en tenant compte des dépenses minimales en nourriture, en vêtements, en chaussures et autres biens et services permettant de satisfaire les besoins essentiels des personnes.",32
233,93115,"Therefore, their effect on the inactivity or poverty trap must be viewed in combination.","Par conséquent, leur effet sur le piège de l'inactivité ou de la pauvreté doit être combiné.","Par conséquent, leur effet sur le piège de pauvreté ou d'inactivité doit être perçu globalement.",14
234,78084,"In addition to the help provided by the state, local authorities provide social welfare services and pay different universal and needs-based social benefits to people in need.","En plus de l'aide fournie par l'État, les autorités locales fournissent des services de protection sociale et versent différents avantages sociaux universels et fondés sur les besoins aux personnes dans le besoin.","Outre l'aide fournie par l'État, les autorités locales fournissent des  services de protection sociale et versent différentes prestations sociales universelles ou fondées sur les besoins des personnes.",27
249,111047,A local government may use the shelter or safe house service as an interim stage with the person's consent when looking for more permanent and suitable housing for the person.,Un gouvernement local peut utiliser le service de refuge ou de maison sécurisée comme une étape intermédiaire avec le consentement de la personne pour rechercher un logement plus permanent et plus convenable pour cette personne.,"Une collectivité locale peut utiliser un service de foyers ou de refuges comme étape intermédiaire, avec le consentement de la personne, pour rechercher un logement permanent plus convenable pour cette personne.",30
254,78134,An eviction is carried out in an enforcement procedure according to the Code of Enforcement Procedure (CEP).,Une expulsion est effectuée dans le cadre d'une procédure d'exécution conformément au code de procédure d'exécution (CEP).,Une expulsion est effectuée dans le cadre d'une procédure d'exécution conformément au code de procédure exécutoire (CPE).,17
261,184032,The person being evicted can apply for a suspension of the enforcement proceedings or extension or deferment of enforcement if continuation of the proceedings is unfair in respect of him or her.,La personne expulsée peut demander la suspension de la procédure d'exécution ou la prolongation ou le sursis de l'exécution si la poursuite  de la procédure est injuste à son égard.,La personne expulsée peut demander la  suspension de la procédure d'exécution ou la prolongation ou le sursis de l'exécution si la poursuite de la procédure est injuste à son égard.,32
267,167931,"As the result of the installation and application of reverse osmosis devices, progress has been made in improving drinking water quality where excessive fluoride and boron content is present in natural waters.","Grâce à l'installation et à l'application de dispositifs à osmose inverse, des progrès ont été accomplis dans l'amélioration de la qualité de l 'eau de boisson lorsqu'un taux excessif de fluorure et de bore est présent dans les eaux naturelles.","Grâce à l'installation et à l'application de dispositifs à osmose inverse, des progrès ont été accomplis dans l'amélioration de la qualité de l'eau potable lorsqu'un taux excessif de fluorure et de bore est présent dans les eaux naturelles.",32
283,74409,"In 2016, 927 permanent consumers used water exceeding the fluoride limit value.","En 2016, 927 consommateurs permanents ont utilisé de l'eau en excès de la valeur limite de fluorure.","En 2016, 927 consommateurs permanents ont utilisé de l'eau dépassant la valeur limite de fluorure.",12
288,179560,The health risk assessment with cost-benefit analysis finalized in 2018 by Tartu University analyzed the scale of the risk posed to health by the radioactive substances in drinking water and explained when it will be necessary to start taking measures for health protection.,L’ évaluation des risques pour la santé et l’analyse coûts-avantages finalisée en 2018 par l’Université de Tartu ont analysé l’ampleur des risques pour la santé liés aux substances radioactives dans l’eau de boisson et ont expliqué quand il serait nécessaire de commencer à prendre des mesures de protection de la santé.,L’ évaluation des risques sanitaires avec  analyse coûts-avantages finalisée en 2018 par l’Université de Tartu a permis d'établir l’ampleur des risques sanitaires liés aux substances radioactives dans l'eau potable et d'établir quand il serait nécessaire de commencer à prendre des mesures de protection sanitaire.,43
