,Time-to-edit,Segment,Suggestion,Translation,words
90,33197,"If the employer has not notified the employee about wages in the written employment contract or that the wage agreed in the contract is less than the minimum wage, the labour inspector has a right to issue a precept to ask to stop the violation.","Si l'employeur n'a pas informé le salarié du salaire figurant dans le contrat de travail écrit ou que le salaire convenu dans le contrat est inférieur au salaire minimum, l' inspecteur du travail a le droit d'émettre un précepte demandant de faire cesser la violation.","Si l'employeur n'a pas informé le salarié du salaire figurant dans le contrat de travail écrit ou que le salaire convenu dans le contrat est inférieur au salaire minimum, l' inspecteur du travail a le droit d'émettre un principe demandant de faire cesser la violation.",45
99,17734,The IT tool and relevant guidelines will also be available for use for all the employers in the private sector as well.,L'outil informatique et les directives pertinentes seront également disponibles pour tous les employeurs du secteur privé.,L'outil informatique et les directives pertinentes seront également disponibles pour tous les employeurs du secteur privé.,22
102,11243,An in-depth analysis will be carried out as more precise data is needed to sufficiently address the problem.,Une analyse approfondie sera réalisée car des données plus précises sont nécessaires pour traiter suffisamment le problème.,Une analyse approfondie sera réalisée car des données plus précises sont nécessaires pour traiter suffisamment le problème.,18
111,27342,"This is being enforced by the educational system as 71% of the students who were accepted to the university to study ICT in 2017, were men.",Le système éducatif veille au respect de cette règle puisque 71% des étudiants admis à l'université pour étudier les TIC en 2017 étaient des hommes.,"Le système éducatif est à l'origine de ce phénomène, puisque 71 % des étudiants admis à l'université pour étudier les TIC en 2017 étaient des hommes.",26
117,26587,"The main criticism has been, that the system is rather inflexible and women face longer career breaks, which also influences their career perspective negatively.","La principale critique a été que le système est plutôt rigide et que les femmes font face à des interruptions de carrière plus longues, ce qui a également une influence négative sur leur perspective de carrière.","La principale critique est que le système est plutôt rigide et que les femmes font face à des interruptions de carrière plus longues, ce qui a également une influence négative sur leurs perspectives de carrière.",24
118,25623,"The Green Paper on family benefits, services and parental leave of 2015 included 11 policy proposals on family benefits, services and parental leave.","Le livre vert sur les prestations familiales, les services et le congé parental de 2015 comprenait 11 propositions de politique sur les prestations familiales, les services et le congé parental.","Le livre vert sur les prestations familiales, les services et le congé parental de 2015 comprenait 11 propositions de politiques concernant les prestations familiales, les services et le congé parental.",23
124,31880,For example the maternity leave period will be shortened from 140 days to 60 - 100 days (depending on how the mother wishes to use the period) and the parents will have a longer period of sharable parental leave and benefit.,"Par exemple, la période de congé de maternité sera ramenée de 140 à 60 à 100 jours (selon le souhait de la mère) et les parents bénéficieront d’une période plus longue de congé parental partageable.","Par exemple, la période de congé maternité sera ramenée de 140 à 60 à 100 jours (selon le souhait de la mère) et les parents bénéficieront d’une période plus longue de congé parental partageable.",41
126,9374,In years 2015 to 2018 altogether 1193 childcare places have been created in all over the country.,"Au cours des années 2015 à 2018, 1193 places de garde d'enfants ont été créées dans tout le pays.","Au cours des années 2015 à 2018, 1193 places de garde d'enfants ont été créées dans tout le pays.",17
134,16790,Each enterprise will have an individual risk rate and the enterprises with the highest risk rate are chosen for inspection.,Chaque entreprise aura un taux de risque individuel et les entreprises présentant le taux de risque le plus élevé seront choisies pour l'inspection.,Chaque entreprise aura un taux de risque individuel et les entreprises présentant le taux de risque le plus élevé seront choisies pour l'inspection.,20
139,13255,It means that the percentage of supervision in the agriculture is not so high than some years ago.,Cela signifie que le pourcentage de supervision dans l'agriculture n'est pas aussi élevé qu'il y a quelques années.,Cela implique que le pourcentage de supervision dans l'agriculture n'est pas aussi élevé qu'il y a quelques années.,18
140,8143,Over the past ten years around 10 complaint-based inspections have been carried out each year.,"Au cours des dix dernières années, environ 10 inspections sur la base de plaintes ont été effectuées chaque année.","Au cours des dix dernières années, environ 10 inspections sur la base de plaintes ont été effectuées chaque année.",15
145,45236,"In case of a strike, in enterprises and institutions which satisfy the primary needs of the population and economy, the body which calls a strike or locks out employees shall ensure indispensable services or production which shall be determined by agreement of the parties.","En cas de grève, dans les entreprises et les institutions qui répondent aux besoins essentiels de la population et de l’économie, l’organe qui déclenche la grève ou le lock-out du personnel assure les services ou la production indispensables qui sont déterminés par accord des parties.","En cas de grève dans les entreprises et les institutions qui répondent aux besoins essentiels de la population et de l’économie, l’organe qui déclenche la grève ou le lock-out du personnel assure les services ou la production indispensables déterminés par accord des parties.",44
146,13015,"In the case of disagreements, indispensable services or production are determined by the Public Conciliator whose decision is binding on the parties.","En cas de désaccord, les services ou la production indispensables sont déterminés par le conciliateur public, dont la décision lie les parties.","En cas de désaccord, les services ou la production indispensables sont déterminés par le conciliateur public, dont la décision lie les parties.",22
148,64626,"The draft act on collective bargaining and collective labour dispute resolution that, inter alia, included regulation for determining indispensable services, was dropped in 2015 after its first reading in parliament upon the expiry of the mandate of the parliament, since the proceedings were not completed before the expiry of the mandate.","Le projet de loi sur la négociation collective et le règlement des conflits collectifs du travail, qui comprenait notamment une réglementation relative à la détermination des services indispensables, a été abandonné en 2015 à la suite de sa première lecture au Parlement à l'expiration du mandat du parlement, la procédure n'ayant pas abouti avant. l'expiration du mandat.","Le projet de loi sur la négociation collective et le règlement collectif des conflits de travail, qui comprenait notamment une réglementation relative à la détermination des services indispensables, a été abandonné en 2015 à l'expiration du mandat du parlement à la suite de sa première lecture, la procédure n'ayant pas abouti avant l'expiration du mandat.",51
160,38583,"61% of people receiving II pillar payments received regular payments from the pension fund, 21% got bulk redemption from pension fund and 19% received lifetime payments from the insurance company.","61% des bénéficiaires des paiements du deuxième pilier ont reçu des paiements réguliers du fonds de pension, 21% ont été remboursés en bloc par un fonds de pension et 19% ont reçu des paiements à vie de la compagnie d’assurance.","61 % des bénéficiaires des paiements du deuxième pilier ont reçu des paiements réguliers du fonds de pension, 21 % ont été remboursés en bloc par le fond de pension et 19 % ont reçu des paiements à vie de la compagnie d’assurance.",30
167,20718,"According to prognosis the indexation of pensions in 2019 will increase average pension by 34 euros, so it will be 480,40 euros.","Selon les prévisions, l'indexation des retraites en 2019 augmentera la pension moyenne de 34 euros, elle sera donc de 480,40 euros.","Selon les prévisions, l'indexation des retraites de 2019 augmentera la pension moyenne de 34 euros, elle sera donc de 480,40 euros.",22
178,18270,The average allowance for people with no work ability was 386 euros in September 2018 and 223 euros for people with partial work ability.,L'allocation moyenne pour les personnes sans capacité de travail était de 386 euros en septembre 2018 et de 223 euros pour les personnes en capacité de travail partielle.,L'allocation moyenne pour les personnes sans capacité de travail était de 386 euros en septembre 2018 et de 223 euros pour les personnes en capacité de travail partiel.,24
183,21933,The analysis is expected to propose different scenarios based on the shortcomings of the unemployment benefits system and to the related problems.,L'analyse devrait proposer différents scénarios fondés sur les lacunes du système de prestations de chômage et sur les problèmes connexes.,L'étude devrait proposer différents scénarios fondés sur les lacunes du système de prestations chômage et sur les problèmes connexes.,22
188,24621,"The amendment also included a rewording of the aggravating circumstances applied for all offenses, to be taken into account when considering the degree of guilt and punishment (section 58).","L'amendement prévoyait également une reformulation des circonstances aggravantes appliquées à toutes les infractions, à prendre en compte lors de l'examen du degré de culpabilité et du châtiment (article 58).","La modification prévoyait également une reformulation des circonstances aggravantes appliquées à toutes les infractions, à prendre en compte lors de l'examen du degré de culpabilité et de la punition (article 58).",29
191,30214,"Domestic violence offences are listed mostly (86%) under the category of physical abuse in close relationships and dependency relationships, where section 121 subsection 2 point 2 of the Penal Code apply.","Les infractions de violence domestique sont classées principalement (86%) dans la catégorie de violence physique dans les relations intimes et les relations de dépendance, où l'article 121, paragraphe 2, point 2, du Code pénal s'applique.","Les infractions de violence domestique sont classées principalement (86 %) sous la catégorie des violences physiques dans les relations intimes et les relations de dépendance, où l'article 121, paragraphe 2, alinéa 2 du Code pénal s'applique.",31
194,16012,"In 2017, 763 persons were prosecuted under section 121 subsection 2 and criminal proceedings were terminated in regards of 891 persons (in 2016, respectively 788 and 881).","En 2017, 763 personnes ont été poursuivies en vertu de l'article 121, paragraphe 2, et des procédures pénales ont été clôturées concernant 891 personnes (en 2016, respectivement 788 et 881).","En 2017, 763 personnes ont été poursuivies en vertu de l'article 121, paragraphe 2, et des procédures pénales ont été clôturées concernant 891 personnes (en 2016, respectivement 788 et 881).",27
196,33021,":: Study of 2013 showed that 53% of domestic violence perpetrators were imposed conditional prison sentence, 20% were imposed substitution of imprisonment by community service, 14% were imposed pecuniary punishment and 13% were sent to prison.",":: Une étude de 2013 a montré que 53% des auteurs de violences conjugales se sont vu infliger une peine de prison avec sursis, 20% se sont vu infliger une peine de substitution à l'emprisonnement par un service communautaire, 14% ont été condamnés à des peines pécuniaires et 13% ont été envoyés en prison.","::  Une étude de 2013 a montré que 53 % des auteurs de violences domestiques se sont vu infliger une peine de prison avec sursis, 20 % se sont vu infliger une peine de substitution à l'emprisonnement par un service communautaire, 14 % ont été condamnés à des peines pécuniaires et 13 % ont été envoyés en prison.",36
202,100819,"In 2016, Lead Group of the Strategy for Preventing Violence in 2015 - 2020 of seven ministries (Ministry of Justice, Ministry of Education and Research, Ministry of Culture, Ministry of Economic Affairs and Communications, Ministry of Interior, Ministry of Social Affairs, Ministry of Foreign Affairs) was formed to coordinate activities of the responsible parties, as well as to discuss the developments in the sector, the issues requiring solutions and amendment of the operational programme of the Strategy.","En 2016, groupe directeur de la Stratégie de prévention de la violence 2015-2020 de sept ministères (Ministère de la justice, Ministère de l'éducation et de la recherche, Ministère de la culture, Ministère des affaires économiques et des communications, Ministère de l'intérieur, Ministère des affaires sociales, Ministère des affaires étrangères) a été créée pour coordonner les activités des responsables, ainsi que pour débattre de l’évolution de la situation dans le secteur, des problèmes à résoudre et de la modification du programme opérationnel de la stratégie.","En 2016, un groupe de pilotage de la Stratégie de prévention de la violence 2015-2020, composé de sept ministères (Ministère de la justice, Ministère de l'éducation et de la recherche, Ministère de la culture, Ministère des affaires économiques et des communications, Ministère de l'intérieur, Ministère des affaires sociales, Ministère des affaires étrangères) a été créé pour coordonner les activités des parties responsables, ainsi que pour débattre de l’évolution de la situation dans le secteur, des problèmes à résoudre et de la modification du programme opérationnel de la stratégie.",77
206,9430,These two approaches together will provide safety and security for victims as well as their children.,Ces deux approches combinées assureront la sûreté et la sécurité des victimes ainsi que de leurs enfants.,Ces deux approches combinées assureront la sûreté et la sécurité des victimes ainsi que de leurs enfants.,16
211,21511,"The Employment Contracts Act (ECA) was amended in 2017 to allow more flexibility in the employment relationship with minors, at the same time ensuring efficient protection of minors.","La loi sur les contrats de travail (ECA) a été modifiée en 2017 pour permettre plus de flexibilité dans les relations de travail avec les mineurs, tout en garantissant une protection efficace des mineurs.",La loi sur les contrats de travail (LCT) a été modifiée en 2017 pour permettre plus de flexibilité dans les relations de travail avec les mineurs tout en garantissant une protection efficace des mineurs.,28
230,19234,"In the end of 2018, the analysis of subsistence minimum level will be published and taken into account while establishing the new subsistence level.","À la fin de 2018, l'analyse du niveau minimum de subsistance sera publiée et prise en compte lors de l'établissement du nouveau niveau de subsistance.","À la fin 2018, l'analyse du minimum vital sera publiée et prise en compte lors de l'établissement du nouveau niveau de subsistance.",24
235,32755,"For example, they compensate the cost for pharmaceuticals, unexpected expenses; and they also offer food aid (in co-operation with NGO-s and the Fund for European Aid to the Most Deprived).","Par exemple, ils compensent le coût des produits pharmaceutiques, les dépenses imprévues; et ils offrent également une aide alimentaire (en coopération avec les ONG et le Fonds européen d'aide aux plus démunis).","Par exemple, ils compensent le coût des produits pharmaceutiques, les dépenses imprévues, et ils offrent également une aide alimentaire (en coopération avec les ONG et avec le Fonds européen d'aide aux plus démunis).",30
237,20364,"The main expected impact of the aforementioned amendments is that people participate in the labour market more actively, the absolute poverty rate decreases and the economic independency of people improves.","Le principal impact attendu des amendements susmentionnés est que les personnes participent plus activement au marché du travail, que le taux de pauvreté absolue diminue et que l'indépendance économique des personnes s'améliore.","Le principal impact attendu des modifications susmentionnées est que les personnes participent plus activement au marché du travail, que le taux de pauvreté absolue diminue et que l'indépendance économique des personnes s'améliore.",30
241,29424,"The development plan was implemented at the time of recession and the funds planned for the area of housing were re-allocated, which is why several measures were not executed.",Le plan de développement a été mis en œuvre au moment de la récession et les fonds prévus pour le secteur du logement ont été réaffectés. C'est pourquoi plusieurs mesures n'ont pas été exécutées.,Le plan de développement a été mis en œuvre au moment de la récession et les fonds prévus pour le secteur du logement ont été réaffectés. C'est pourquoi plusieurs mesures n'ont pas été exécutées.,29
243,23526,The focus was mainly on reducing the energy costs of the supply of housing units and the creation of favourable conditions for the renovation of apartment buildings.,L'accent a été mis principalement sur la réduction des coûts énergétiques liés à la fourniture de logements et sur la création de conditions favorables pour la rénovation d'immeubles d'appartements.,L'accent a été mis principalement sur la réduction des coûts énergétiques liés à la fourniture de logements et sur la création de conditions favorables pour la rénovation d'immeubles d'habitation.,27
247,44162,"Pursuant to the Social Welfare Act, a local government is obliged to assess a person's need for help comprehensively and to consequently offer them social services and support that guarantee their subsistence.","En vertu de la loi sur la protection sociale, les autorités locales sont tenues d'évaluer de manière exhaustive les besoins d'une personne en matière d'aide et de lui proposer par conséquent des services sociaux et une assistance garantissant sa subsistance.","En vertu de la loi sur la protection sociale, les autorités locales sont tenues d'évaluer de manière exhaustive les besoins d'une personne en matière d'aide et de lui proposer par conséquent des services sociaux et une assistance garantissant sa subsistance.",32
253,17185,"The service is mainly meant for children, but also for adults who accompany them and in certain cases for adults who need a safe environment (e.g. victims of domestic violence).","Le service s'adresse principalement aux enfants, mais également aux adultes qui les accompagnent et, dans certains cas, aux adultes ayant besoin d'un environnement sûr (par exemple, les victimes de violences domestiques).","Le service s'adresse principalement aux enfants, mais également aux adultes qui les accompagnent et, dans certains cas, aux adultes ayant besoin d'un environnement sûr (par exemple, les victimes de violences domestiques).",30
256,72987,"In case of eviction such an enforcement instrument can either be an effective court judgment or a statement of compulsory auctions on the basis of which a person who purchases an immovable is registered in the land register as the owner of the immovable, upon reclamation of possession of the immovable.","En cas d'expulsion, un tel instrument d'exécution peut être soit un jugement effectif du tribunal, soit une déclaration d'enchères obligatoires sur la base de laquelle une personne qui achète un immeuble est inscrite au registre foncier en tant que propriétaire de l'immeuble, dès lors que la possession a été récupérée. l'immeuble.","En cas d'expulsion, un tel instrument d'exécution peut être soit un jugement effectif du tribunal, soit une déclaration d'enchères obligatoires sur la base de laquelle une personne qui achète un immeuble est inscrite au cadastre en tant que propriétaire de l'immeuble, dès lors que la possession de l'immeuble a été récupérée.",51
259,54744,"In case it is determined that the immovable is in possession of a person that lacks the necessary legal basis, a bailiff shall grant a term of up to three months to the person being evicted for voluntary compliance with the enforcement instrument.","S'il est établi que l'immeuble est en possession d' une personne dépourvue de la base légale nécessaire, un huissier de justice doit accorder un délai maximal de trois mois à la personne expulsée pour se conformer volontairement à l'instrument d'exécution.","S'il est établi que l'immeuble est en possession d' une personne sans base légale nécessaire, un huissier de justice doit accorder un délai maximal de trois mois à la personne expulsée pour se conformer volontairement à l'instrument d'exécution.",43
269,34922,"According to the 2016 data, 88 - 89% of the population in Estonia is connected to the public drinking water supply where quality of drinking water is ensured and controlled.","Selon les données de 2016, entre 88 et 89% de la population estonienne est raccordée au réseau public d' approvisionnement en eau potable, où la qualité de l 'eau potable est garantie et contrôlée.","Selon les données de 2016, entre 88 et 89 % de la population estonienne est raccordée au réseau public d'approvisionnement en eau potable, dans lequel la qualité de l'eau potable est garantie et contrôlée.",30
275,31922,The Ministry of the Environment has started a project to widen the knowledge of the quality of drinking water abstracted from private wells and technical situation of the individual drinking water systems.,Le ministère de l'Environnement a lancé un projet visant à élargir les connaissances sur la qualité de l' eau potable extraite des puits privés et sur la situation technique des différents systèmes d'alimentation en eau potable.,Le ministère de l'Environnement a lancé un projet visant à élargir les connaissances sur la qualité de l' eau potable extraite des puits privés et sur la situation technique des différents systèmes d'alimentation en eau potable.,32
280,52557,According to 2016 data the content of fluorides and boron in drinking water continued to improve resulting from installation of several reverse osmosis devices or due to connecting problematic small drinking water supplies with bigger ones where the limit value was met.,"Selon les données de 2016, la teneur en fluorures et en bore dans l' eau de boisson a continué de s'améliorer grâce à l'installation de plusieurs dispositifs à osmose inverse ou au raccordement de petites sources d'approvisionnement en eau potable problématiques à des sources plus grandes pour lesquelles la valeur limite a été atteinte.","Selon les données de 2016, la teneur en fluorures et en bore dans l'eau potable a continué de s'améliorer grâce à l'installation de plusieurs dispositifs à osmose inverse ou au raccordement de petites sources d'approvisionnement en eau potable problématiques à des sources plus grandes pour lesquelles la valeur limite a été atteinte.",42
